"rgn_id","sciname","popn_trend"
122," Carcharhinus perezi",
133," Carcharhinus perezi",
119," Carcharhinus perezi",
129," Carcharhinus perezi",
120," Carcharhinus perezi",
171," Carcharhinus perezi",
130," Carcharhinus perezi",
110," Carcharhinus perezi",
166," Carcharhinus perezi",
163," Carcharhinus perezi",
131," Carcharhinus perezi",
108," Carcharhinus perezi",
124," Carcharhinus perezi",
127," Carcharhinus perezi",
112," Carcharhinus perezi",
126," Carcharhinus perezi",
164," Carcharhinus perezi",
123," Carcharhinus perezi",
135," Carcharhinus perezi",
139," Carcharhinus perezi",
132," Carcharhinus perezi",
115," Carcharhinus perezi",
136," Carcharhinus perezi",
167," Carcharhinus perezi",
125," Carcharhinus perezi",
168," Carcharhinus perezi",
114," Carcharhinus perezi",
169," Carcharhinus perezi",
183," Monachus monachus ",
173,"Alopias vulpinus","Decreasing"
106,"Alopias vulpinus","Decreasing"
71,"Alopias vulpinus","Decreasing"
134,"Alopias vulpinus","Decreasing"
131,"Alopias vulpinus","Decreasing"
46,"Alopias vulpinus","Decreasing"
212,"Alopias vulpinus","Decreasing"
102,"Alopias vulpinus","Decreasing"
181,"Alopias vulpinus","Decreasing"
42,"Alopias vulpinus","Decreasing"
197,"Alopias vulpinus","Decreasing"
40,"Alopias vulpinus","Decreasing"
203,"Alopias vulpinus","Decreasing"
132,"Alopias vulpinus","Decreasing"
96,"Alopias vulpinus","Decreasing"
187,"Alopias vulpinus","Decreasing"
6,"Alopias vulpinus","Decreasing"
163,"Alopias vulpinus","Decreasing"
139,"Alopias vulpinus","Decreasing"
116,"Alopias vulpinus","Decreasing"
179,"Alopias vulpinus","Decreasing"
49,"Alopias vulpinus","Decreasing"
16,"Alopias vulpinus","Decreasing"
215,"Alopias vulpinus","Decreasing"
214,"Alopias vulpinus","Decreasing"
20,"Alopias vulpinus","Decreasing"
41,"Alopias vulpinus","Decreasing"
47,"Alopias vulpinus","Decreasing"
74,"Alopias vulpinus","Decreasing"
5,"Alopias vulpinus","Decreasing"
